ApplicantName,CGPA,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,PlagiarismHistory,CW1,CW2,ESE,Online C,Online O,Played,Paused,Likes,Segment,Result,Cluster,Cluster Name,Cluster Description
Student 1,Very Good,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Very Good,Excellent,3,1,2,2,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 2,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Poor,Poor,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 3,Fair,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Fair,Very Good,2,2,1,1,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 4,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Very Good,Fair,3,1,1,2,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 5,Fair,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Fair,Very Good,8,13,1,7,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 6,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Excellent,Very Good,5,3,0,4,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 7,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Poor,Very Good,5,7,1,4,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 8,Fair,Medium,No,No,No,No,Yes,No,Low,Low,Fail,Fail,Adequate,Fair,Poor,1,7,2,0,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 9,Adequate,Medium,No,Yes,No,No,Yes,No,Medium,Low,Very Good,Very Good,Fail,Fair,Good,1,1,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 10,Adequate,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fair,Excellent,Excellent,1,0,1,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 11,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Good,Poor,Adequate,1,1,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 12,Adequate,Low,No,Yes,Yes,No,No,No,Medium,Low,Good,Good,Adequate,Excellent,Very Good,6,7,0,5,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 13,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fair,Good,Adequate,1,0,1,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 14,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Poor,Good,3,0,1,2,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 15,Fair,Low,No,No,No,No,Yes,No,High,Low,Fair,Fair,Fair,Good,Fair,1,0,1,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 16,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Good,Fair,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 17,Excellent,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Excellent,Good,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 18,Very Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Good,Good,1,6,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 19,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Adequate,Very Good,Good,1,4,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 20,Adequate,Medium,No,No,No,No,Yes,Yes,High,Low,Excellent,Excellent,Very Good,Fair,Very Good,1,3,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 21,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Fair,Very Good,Fair,1,4,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 22,Excellent,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Good,Very Good,Very Good,1,5,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 23,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Good,Very Good,1,5,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 24,Adequate,Medium,No,No,No,No,Yes,No,Low,Medium,Fair,Fair,Fail,Excellent,Excellent,1,5,1,0,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 25,Poor,Medium,No,Yes,Yes,No,Yes,Yes,Low,Low,Very Good,Very Good,Good,Excellent,Very Good,1,2,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 26,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Good,Poor,2,0,2,1,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 27,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Very Good,Excellent,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 28,Adequate,Low,No,No,No,No,No,No,Medium,Low,Excellent,Excellent,Adequate,Adequate,Adequate,1,1,0,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 29,Poor,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Very Good,Good,1,1,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 30,Adequate,Medium,No,No,No,No,Yes,No,High,Low,Adequate,Adequate,Fail,Very Good,Very Good,5,0,1,4,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 31,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Very Good,Very Good,Excellent,2,0,0,1,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 32,Excellent,Low,No,No,No,No,No,No,High,Low,Good,Good,Fail,Excellent,Very Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 33,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Fair,1,0,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
